index_code,trade_date,open,high,low,close,volume
DJI,2026-08-18,53354.4296875,53478.76171875,53256.33984375,53343.3984375,427996859
NASDAQ,2026-08-18,26346.87890625,26422.501953125,26266.67578125,26289.7109375,6460855000
SOX,2026-08-18,12166.1181640625,12228.0634765625,11828.4560546875,11992.462890625,0
SPX,2026-08-18,7700.0400390625,7713.9501953125,7688.6298828125,7691.759765625,2650043000
TAIEX,2026-08-19,45071.33984375,45071.33984375,44308.7109375,44682.0390625,0
TPEx,2026-08-19,387.57000732421875,389.7799987792969,379.92999267578125,385.2799987792969,0
